filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Beaker-0.9.3/beaker/container.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,2,[2],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
Beaker-0.9.3/beaker/container.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",627,[627],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
Beaker-0.9.3/beaker/container.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",716,[716],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
Beaker-0.9.3/beaker/crypto/pbkdf2.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module HMAC are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,76,[76],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
Beaker-0.9.3/beaker/crypto/pbkdf2.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,141,[141],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Beaker-0.9.3/beaker/crypto/pbkdf2.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,261,[261],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
Beaker-0.9.3/beaker/ext/database.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
Beaker-0.9.3/beaker/ext/database.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",119,[119],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
Beaker-0.9.3/beaker/session.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,2,[2],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
Beaker-0.9.3/beaker/session.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",22,[22],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Beaker-0.9.3/beaker/session.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,122,[122],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
Beaker-0.9.3/beaker/session.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",371,[371],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
Beaker-0.9.3/beaker/session.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",374,[374],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
Beaker-0.9.3/beaker/session.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,378,[378],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
Beaker-0.9.3/beaker/util.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",196,[196],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
