filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Euphorie-6.0/src/euphorie/client/api/tests/test_authentication.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'jane',30,[30],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_authentication.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'alice',32,[32],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_authentication.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'jane',42,"[42, 43]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_company.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'secret',18,[18],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_company.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'secret',47,[47],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_module.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'secret',18,[18],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_profile.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'secret',48,[48],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_profile.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'secret',69,[69],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_profile.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'secret',87,[87],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
Euphorie-6.0/src/euphorie/client/api/tests/test_profile.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'secret',114,[114],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
