filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Flask-OAuthlib-0.9.0/flask_oauthlib/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,[73],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-OAuthlib-0.9.0/flask_oauthlib/client.py,blacklist,B410,LOW,HIGH,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,95,[95],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
Flask-OAuthlib-0.9.0/flask_oauthlib/client.py,blacklist,B405,LOW,HIGH,"Using cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",98,[98],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree
Flask-OAuthlib-0.9.0/flask_oauthlib/client.py,blacklist,B405,LOW,HIGH,"Using ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",101,[101],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree
Flask-OAuthlib-0.9.0/flask_oauthlib/client.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,372,[372],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
Flask-OAuthlib-0.9.0/flask_oauthlib/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,440,[440],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-OAuthlib-0.9.0/flask_oauthlib/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,494,"[494, 495]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-OAuthlib-0.9.0/flask_oauthlib/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,579,[579],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-OAuthlib-0.9.0/flask_oauthlib/contrib/apps.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,50,[50],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-OAuthlib-0.9.0/flask_oauthlib/contrib/apps.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,[51],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
