filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
PasteScript-1.7.4.2/paste/script/flup_server.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,[51],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/flup_server.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,[54],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/flup_server.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,[74],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/flup_server.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,77,[77],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/request.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,128,[128],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/util/secret.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
PasteScript-1.7.4.2/tests/test_logging_config.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,133,[133],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
PasteScript-1.7.4.2/tests/test_logging_config.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,209,[209],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
PasteScript-1.7.4.2/tests/test_plugin_adder.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,[20],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/tests/test_plugin_adder.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,22,[22],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/tests/test_plugin_adder.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,23,[23],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/tests/test_template_introspect.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,[8],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/tests/test_template_introspect.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,9,[9],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/tests/test_template_introspect.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,10,[10],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/tests/test_template_introspect.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,[11],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/tests/test_template_introspect.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,12,[12],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
