filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
PasteScript-1.7.4.2/paste/script/appinstall.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,345,"[345, 346]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/appinstall.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",393,[393],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
PasteScript-1.7.4.2/paste/script/checkperms.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,377,"[377, 378, 379]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/checkperms.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,393,"[393, 394, 395]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/cherrypy_server.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,93,[93],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
PasteScript-1.7.4.2/paste/script/command.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,14,[14],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
PasteScript-1.7.4.2/paste/script/command.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,218,"[218, 219, 220]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/command.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,440,"[440, 441]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/command.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,581,[581],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
PasteScript-1.7.4.2/paste/script/command.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,725,[725],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
