filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Pillow-2.3.0/PIL/EpsImagePlugin.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,68,"[68, 69]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
Pillow-2.3.0/PIL/EpsImagePlugin.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,70,[70],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
Pillow-2.3.0/PIL/EpsImagePlugin.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,89,[89],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
Pillow-2.3.0/PIL/EpsImagePlugin.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",107,[107],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pillow-2.3.0/PIL/EpsImagePlugin.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",220,[220],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pillow-2.3.0/PIL/GifImagePlugin.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",318,[318],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pillow-2.3.0/PIL/GifImagePlugin.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",331,[331],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
Pillow-2.3.0/PIL/GifImagePlugin.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",333,[333],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
Pillow-2.3.0/PIL/GifImagePlugin.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",335,[335],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pillow-2.3.0/PIL/IcnsImagePlugin.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,216,[216],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
Pillow-2.3.0/PIL/IcnsImagePlugin.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,216,[216],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
Pillow-2.3.0/PIL/Image.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,500,[500],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
Pillow-2.3.0/PIL/ImageCms.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,871,[871],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
Pillow-2.3.0/PIL/ImageFile.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,286,"[286, 287]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
