filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Pootle-2.7.6/pootle/apps/accounts/migrations/0003_remove_pootleprofile_id.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,27,"[27, 28, 29, 30, 31, 32]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
Pootle-2.7.6/pootle/apps/accounts/migrations/0003_remove_pootleprofile_id.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,37,"[37, 38, 39, 40, 41, 42]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
Pootle-2.7.6/pootle/apps/accounts/models.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",153,[153],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
Pootle-2.7.6/pootle/apps/pootle_app/forms.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',122,[122],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
Pootle-2.7.6/pootle/apps/pootle_app/management/commands/dump.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",147,[147],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pootle-2.7.6/pootle/apps/pootle_app/management/commands/update_tmserver.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",80,[80],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
Pootle-2.7.6/pootle/apps/pootle_app/management/commands/webpack.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,12,[12],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
Pootle-2.7.6/pootle/apps/pootle_app/management/commands/webpack.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,78,[78],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
Pootle-2.7.6/pootle/apps/pootle_app/views/admin/util.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,178,[178],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
Pootle-2.7.6/pootle/apps/pootle_app/views/admin/util.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,178,[178],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B410,LOW,HIGH,Using ParserError to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ParserError with the equivalent defusedxml package.,13,[13],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B410,LOW,HIGH,Using fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace fromstring with the equivalent defusedxml package.,14,[14],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B410,LOW,HIGH,Using clean_html to parse untrusted XML data is known to be vulnerable to XML attacks. Replace clean_html with the equivalent defusedxml package.,15,"[15, 16]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,39,[39],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,53,[53],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,63,[63],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,63,[63],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,70,[70],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,70,[70],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,106,[106],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,106,[106],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,121,[121],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/cleanhtml.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,121,[121],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/render_pager.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,45,[45],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
Pootle-2.7.6/pootle/apps/pootle_misc/templatetags/render_pager.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,45,[45],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
Pootle-2.7.6/pootle/apps/pootle_project/models.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",470,[470],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
