filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Pyro4-4.71/examples/async/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",9,[9],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/async/client_batch.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",18,[18],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/async/client_callchain.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",22,[22],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/async/client_callchain.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,"[55, 56]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/async/client_callchain.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,67,"[67, 68]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/async/client_callchain.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,"[82, 83]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/async/client_callchain.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,"[94, 95]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/attributes/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",9,[9],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/attributes/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,70,[70],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/autoproxy/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",10,[10],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/autoreconnect/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",16,[16],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/batchedcalls/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",14,[14],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/batchedcalls/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,[27],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/batchedcalls/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,52,[52],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/batchedcalls/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,[68],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/benchmark/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",12,[12],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/benchmark/client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,15,"[15, 16, 17]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/benchmark/connections.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",11,[11],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/blob-dispatch/client/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/blob-dispatch/client/customdata.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,[24],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/blob-dispatch/listeners/customdata.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,[24],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/blob-dispatch/listeners/listener.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,[19],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro4-4.71/examples/callback/client.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,32,[32],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
Pyro4-4.71/examples/callcontext/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",36,[36],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/callcontext/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",64,[64],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/chatbox/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",31,[31],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/chatbox/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",34,[34],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/chatbox/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",35,[35],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
Pyro4-4.71/examples/chatbox/client.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",43,[43],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
