filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
Yaybu-0.1.13/yaybu/core/argument.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,95,[95],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
Yaybu-0.1.13/yaybu/core/argument.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,96,[96],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
Yaybu-0.1.13/yaybu/core/argument.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,117,[117],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
Yaybu-0.1.13/yaybu/core/argument.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,118,[118],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
Yaybu-0.1.13/yaybu/core/argument.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,137,[137],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
Yaybu-0.1.13/yaybu/core/argument.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,150,[150],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
Yaybu-0.1.13/yaybu/core/event.py,HIGH,MEDIUM,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,40,[40],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html,B506,yaml_load
Yaybu-0.1.13/yaybu/core/remote.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,15,[15],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
Yaybu-0.1.13/yaybu/core/remote.py,HIGH,LOW,Consider possible security implications associated with pickle module.,16,[16],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
Yaybu-0.1.13/yaybu/core/remote.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,92,[92],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
Yaybu-0.1.13/yaybu/core/runcontext.py,HIGH,LOW,Consider possible security implications associated with pickle module.,17,[17],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
Yaybu-0.1.13/yaybu/core/runcontext.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,18,[18],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
Yaybu-0.1.13/yaybu/core/runcontext.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,146,[146],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
