filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
ansible-1.2.2/lib/ansible/callbacks.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,22,[22],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ansible-1.2.2/lib/ansible/callbacks.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,65,[65],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ansible-1.2.2/lib/ansible/callbacks.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,69,[69],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
ansible-1.2.2/lib/ansible/callbacks.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,230,[230],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ansible-1.2.2/lib/ansible/inventory/__init__.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,24,[24],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ansible-1.2.2/lib/ansible/inventory/script.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ansible-1.2.2/lib/ansible/inventory/script.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,40,[40],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ansible-1.2.2/lib/ansible/inventory/script.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,98,[98],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ansible-1.2.2/lib/ansible/playbook/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,216,"[216, 217]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-1.2.2/lib/ansible/playbook/__init__.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,451,[451],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
ansible-1.2.2/lib/ansible/playbook/__init__.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,453,[453],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
ansible-1.2.2/lib/ansible/playbook/__init__.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",454,[454],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
ansible-1.2.2/lib/ansible/playbook/__init__.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,456,[456],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
ansible-1.2.2/lib/ansible/playbook/__init__.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",463,[463],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
ansible-1.2.2/lib/ansible/runner/__init__.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,33,"[33, 34]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ansible-1.2.2/lib/ansible/runner/__init__.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module atfork are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,48,[48],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
ansible-1.2.2/lib/ansible/runner/__init__.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,151,[151],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
ansible-1.2.2/lib/ansible/runner/__init__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,179,[179],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ansible-1.2.2/lib/ansible/runner/__init__.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,179,[179],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
