filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
ansible-runner-1.3.0/ansible_runner/__main__.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,235,[235],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
ansible-runner-1.3.0/ansible_runner/display_callback/minimal.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,29,[29],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
ansible-runner-1.3.0/ansible_runner/utils.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,11,[11],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ansible-runner-1.3.0/ansible_runner/utils.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,71,"[71, 72]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ansible-runner-1.3.0/ansible_runner/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",102,[102],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
ansible-runner-1.3.0/ansible_runner/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",111,[111],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
ansible-runner-1.3.0/test/unit/test_loader.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,14,[14],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,[19],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,[20],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,"[25, 26]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,[28],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,[33],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,"[34, 35]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,[37],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,38,[38],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,43,[43],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,"[48, 49]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,"[51, 52]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,51,[51],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,[54],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,61,"[61, 62, 63]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,64,[64],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,[65],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ansible-runner-1.3.0/test/unit/test_loader.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,[66],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
