filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
aspen-0.38/aspen/__init__.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,96,[96],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
aspen-0.38/aspen/algorithms/website.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,[68],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
aspen-0.38/aspen/backcompat.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,139,[139],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
aspen-0.38/aspen/backcompat.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with loads module.,157,[157],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
aspen-0.38/aspen/backcompat.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,160,"[160, 161, 162]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
aspen-0.38/aspen/backcompat.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",160,[160],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
aspen-0.38/aspen/body_parsers.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,[48],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
aspen-0.38/aspen/configuration/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,[88],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
aspen-0.38/aspen/configuration/__init__.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,270,[270],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
aspen-0.38/aspen/renderers/json_dump.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,22,[22],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
aspen-0.38/aspen/resources/simplate.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,55,"[55, 56, 57, 58, 59]",https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
aspen-0.38/aspen/resources/simplate.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,123,[123],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
aspen-0.38/aspen/resources/static_resource.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
aspen-0.38/aspen/testing/client.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,138,[138],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
aspen-0.38/aspen/utils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,344,[344],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
aspen-0.38/aspen/utils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,345,"[345, 346]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
aspen-0.38/ez_setup.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,22,[22],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
aspen-0.38/ez_setup.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,41,[41],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
aspen-0.38/ez_setup.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,155,[155],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
aspen-0.38/ez_setup.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,181,[181],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
aspen-0.38/ez_setup.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,199,[199],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
aspen-0.38/ez_setup.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,217,[217],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
aspen-0.38/ez_setup.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,237,[237],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
