filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
awscli-1.11.82/awscli/alias.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,16,"[16, 17]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
awscli-1.11.82/awscli/alias.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",282,[282],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
awscli-1.11.82/awscli/customizations/cloudformation/s3uploader.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",147,[147],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
awscli-1.11.82/awscli/customizations/cloudfront.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,65,[65],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
awscli-1.11.82/awscli/customizations/codedeploy/systems.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,16,"[16, 17]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
awscli-1.11.82/awscli/customizations/codedeploy/systems.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,60,"[60, 61, 62, 63, 64, 65, 66, 67]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
awscli-1.11.82/awscli/customizations/codedeploy/systems.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,60,"[60, 61, 62, 63, 64, 65, 66, 67]",https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
awscli-1.11.82/awscli/customizations/codedeploy/systems.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",88,"[82, 83, 84, 85, 86, 87, 88]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
awscli-1.11.82/awscli/customizations/codedeploy/systems.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,90,"[90, 91, 92, 93]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
awscli-1.11.82/awscli/customizations/codedeploy/systems.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,90,"[90, 91, 92, 93]",https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
