filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
boss-cli-0.3.0/boss/api/shell.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",12,[12],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
boss-cli-0.3.0/boss/api/shell.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,12,[12],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
boss-cli-0.3.0/boss/api/util.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",6,[6],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
boss-cli-0.3.0/boss/api/util.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,6,[6],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
boss-cli-0.3.0/boss/config.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,35,[35],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
boss-cli-0.3.0/setup.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with call module.,5,"[5, 6]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
boss-cli-0.3.0/setup.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
boss-cli-0.3.0/setup.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
boss-cli-0.3.0/tests/commands/test_hello.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with PIPE module.,4,[4],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
boss-cli-0.3.0/tests/commands/test_hello.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,10,[10],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
boss-cli-0.3.0/tests/commands/test_hello.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,10,[10],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
boss-cli-0.3.0/tests/commands/test_hello.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,15,[15],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
boss-cli-0.3.0/tests/commands/test_hello.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,15,[15],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
boss-cli-0.3.0/tests/test_cli.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with PIPE module.,4,[4],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
boss-cli-0.3.0/tests/test_cli.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,12,[12],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
boss-cli-0.3.0/tests/test_cli.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,12,[12],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
boss-cli-0.3.0/tests/test_cli.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,15,[15],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
boss-cli-0.3.0/tests/test_cli.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,15,[15],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
boss-cli-0.3.0/tests/test_cli.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,21,[21],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
boss-cli-0.3.0/tests/test_cli.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,21,[21],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
