filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
bottle-0.12.9/bottle.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,38,"[38, 39, 40]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
bottle-0.12.9/bottle.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,88,[88],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
bottle-0.12.9/bottle.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,104,[104],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
bottle-0.12.9/bottle.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,117,[117],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
bottle-0.12.9/bottle.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1469,[1469],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bottle-0.12.9/bottle.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",1857,[1857],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
bottle-0.12.9/bottle.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",2598,[2598],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
bottle-0.12.9/bottle.py,blacklist,B412,HIGH,HIGH,Consider possible security implications associated with CGIHandler module.,2736,[2736],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b412-import-httpoxy
bottle-0.12.9/bottle.py,blacklist,B412,HIGH,HIGH,Consider possible security implications associated with wsgiref.handlers.CGIHandler module.,2740,[2740],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b412-import-httpoxy
bottle-0.12.9/bottle.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,3022,[3022],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
bottle-0.12.9/bottle.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,3069,[3069],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
bottle-0.12.9/bottle.py,use_of_mako_templates,B702,MEDIUM,HIGH,"Mako templates allow HTML/JS rendering by default and are inherently open to XSS attacks. Ensure variables in all templates are properly sanitized via the 'n', 'h' or 'x' flags (depending on context). For example, to HTML escape the variable 'data' do ${ data |h }.",3272,[3272],https://bandit.readthedocs.io/en/latest/plugins/b702_use_of_mako_templates.html
bottle-0.12.9/bottle.py,use_of_mako_templates,B702,MEDIUM,HIGH,"Mako templates allow HTML/JS rendering by default and are inherently open to XSS attacks. Ensure variables in all templates are properly sanitized via the 'n', 'h' or 'x' flags (depending on context). For example, to HTML escape the variable 'data' do ${ data |h }.",3274,[3274],https://bandit.readthedocs.io/en/latest/plugins/b702_use_of_mako_templates.html
bottle-0.12.9/bottle.py,jinja2_autoescape_false,B701,HIGH,HIGH,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",3309,[3309],https://bandit.readthedocs.io/en/latest/plugins/b701_jinja2_autoescape_false.html
bottle-0.12.9/bottle.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,3386,[3386],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
bottle-0.12.9/test/test_server.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with Popen module.,9,[9],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
bottle-0.12.9/test/test_server.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,42,[42],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
bottle-0.12.9/test/test_server.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,81,[81],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
bottle-0.12.9/test/tools.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,"[26, 27]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
