filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
cbapi-1.3.3/examples/legacy/auto_blacklist_from_watchlist.py,request_with_no_cert_validation,B501,HIGH,HIGH,"Requests call with verify=False disabling SSL certificate checks, security issue.",60,"[57, 58, 59, 60]",https://bandit.readthedocs.io/en/latest/plugins/b501_request_with_no_cert_validation.html
cbapi-1.3.3/examples/legacy/auto_blacklist_from_watchlist.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,111,[111],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
cbapi-1.3.3/examples/legacy/auto_blacklist_from_watchlist.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,111,[111],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
cbapi-1.3.3/examples/legacy/auto_blacklist_from_watchlist.py,request_with_no_cert_validation,B501,HIGH,HIGH,"Requests call with verify=False disabling SSL certificate checks, security issue.",157,"[155, 156, 157]",https://bandit.readthedocs.io/en/latest/plugins/b501_request_with_no_cert_validation.html
cbapi-1.3.3/examples/legacy/cb-dns-exfil.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '11f8e14d1d98469468b962f494885fbef9e16cc5',48,"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
cbapi-1.3.3/examples/legacy/extract_indicators.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",175,[175],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
cbapi-1.3.3/examples/legacy/process_composition.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",111,[111],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
cbapi-1.3.3/examples/legacy/toggle_tamper_protection.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'XXXX',10,"[10, 11, 12, 13]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
cbapi-1.3.3/examples/response/dump_all_binaries.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",24,[24],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
cbapi-1.3.3/examples/response/dump_all_binaries.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",38,[38],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
