filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
celery-4.0.0/celery/apps/multi.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with Popen module.,12,[12],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
celery-4.0.0/celery/apps/multi.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,198,[198],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
celery-4.0.0/celery/apps/worker.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,315,[315],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
celery-4.0.0/celery/backends/filesystem.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,[64],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/bin/base.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",345,[345],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
celery-4.0.0/celery/bin/base.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,540,[540],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/bin/celeryd_detach.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,36,[36],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
celery-4.0.0/celery/concurrency/asynpool.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with HIGHEST_PROTOCOL module.,30,[30],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,565,[565],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,566,[566],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,567,[567],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,588,"[588, 589, 590, 591]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1040,[1040],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1041,[1041],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1042,[1042],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1043,[1043],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1046,[1046],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
celery-4.0.0/celery/concurrency/asynpool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1047,[1047],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
