filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
cipher.googlepam-1.5.0/bootstrap.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,28,"[28, 29]",https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
cipher.googlepam-1.5.0/bootstrap.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,28,[28],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
cipher.googlepam-1.5.0/bootstrap.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,37,[37],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
cipher.googlepam-1.5.0/bootstrap.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,"[46, 47, 48, 49, 50, 51, 52]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
cipher.googlepam-1.5.0/bootstrap.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,46,"[46, 47, 48, 49, 50]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
cipher.googlepam-1.5.0/bootstrap.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,"[55, 56, 57, 58, 59, 60, 61, 62]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
cipher.googlepam-1.5.0/bootstrap.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,55,"[55, 56, 57, 58, 59, 60]",https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
cipher.googlepam-1.5.0/src/cipher/googlepam/addusers.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,18,[18],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
cipher.googlepam-1.5.0/src/cipher/googlepam/addusers.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",50,"[48, 49, 50]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cipher.googlepam-1.5.0/src/cipher/googlepam/pam_google.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'Password:',148,[148],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
cipher.googlepam-1.5.0/src/cipher/googlepam/tests/test_doc.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'good-pwd',65,[65],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
cipher.googlepam-1.5.0/src/cipher/googlepam/tests/test_doc.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'good-pwd',67,[67],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
