filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
djangae-0.9.3/djangae/contrib/gauth/views.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",43,[43],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/pagination/decorators.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,35,[35],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
djangae-0.9.3/djangae/contrib/pagination/paginator.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",88,[88],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,166,[166],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/contrib/uniquetool/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,235,[235],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",51,[51],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",67,[67],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",87,[87],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",106,[106],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",127,[127],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",145,[145],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",162,[162],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",177,[177],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",182,[182],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",201,[201],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",207,[207],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/contrib/uniquetool/tests.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",233,[233],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/db/backends/appengine/base.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,504,"[504, 505]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/commands.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,397,"[397, 398]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/commands.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,406,"[406, 407]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/commands.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,495,"[495, 496, 497]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/context.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,78,"[78, 79]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/dnf.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,[37],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/dnf.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,70,[70],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/dnf.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,89,[89],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/dnf.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,149,"[149, 150]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/dnf.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,235,[235],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/indexing.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,44,[44],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,105,[105],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,106,[106],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,107,[107],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,108,"[108, 109]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,196,"[196, 197]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,357,[357],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,358,"[358, 359]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,379,"[379, 380]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,586,[586],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/backends/appengine/query.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,588,"[588, 589]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/caching.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,[29],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/transaction.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,130,"[130, 131, 132]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/db/unique_utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/fields/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56,"[56, 57, 58]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/fields/counting.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,90,[90],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
djangae-0.9.3/djangae/fields/iterable.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,92,[92],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/fields/related.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,81,"[81, 82, 83, 84]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/forms/fields.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,[54],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/forms/fields.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,85,"[85, 86]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/forms/fields.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,138,[138],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
djangae-0.9.3/djangae/forms/fields.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,138,[138],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
djangae-0.9.3/djangae/patches/contenttypes.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,46,[46],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
djangae-0.9.3/djangae/sandbox.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,6,[6],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
djangae-0.9.3/djangae/sandbox.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,47,[47],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
djangae-0.9.3/djangae/sandbox.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,314,[314],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
djangae-0.9.3/djangae/sandbox.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,393,[393],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
djangae-0.9.3/djangae/sandbox.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,393,[393],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
djangae-0.9.3/djangae/sandbox.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,415,[415],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
djangae-0.9.3/djangae/tests/test_connector.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,331,[331],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
djangae-0.9.3/djangae/tests/test_connector.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,680,"[680, 681, 682]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
djangae-0.9.3/djangae/tests/test_connector.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",786,[786],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/tests/test_connector.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",803,[803],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/tests/test_connector.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",888,[888],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/tests/test_connector.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",925,[925],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
djangae-0.9.3/djangae/tests/test_connector.py,django_extra_used,B610,MEDIUM,MEDIUM,Use of extra potential SQL attack vector.,1323,[1323],https://bandit.readthedocs.io/en/latest/plugins/b610_django_extra_used.html
