filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
django-cms-patched-2.3.5/cms/admin/change_list.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",188,[188],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,70,[70],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,[74],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,87,[87],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,125,"[125, 126, 127]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,128,"[128, 129, 130]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,142,[142],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,146,[146],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,150,[150],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,153,"[153, 154, 155]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,159,[159],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,164,[164],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,168,"[168, 169, 170]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,171,"[171, 172]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,223,"[223, 224, 225]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-cms-patched-2.3.5/cms/api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,226,"[226, 227, 228]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
