filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
django-hijack-1.0.6/hijack/templatetags/hijack_tags.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,14,[14],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
django-hijack-1.0.6/hijack/templatetags/hijack_tags.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,14,[14],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'pw',40,[40],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Admin pw',41,[41],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Test2 pw',42,[42],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Admin pw',45,[45],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Admin pw',61,[61],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Admin pw',66,[66],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Admin pw',71,[71],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Admin pw',76,[76],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Test1 pw',85,[85],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/hijack_tests.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Test2 pw',113,[113],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-hijack-1.0.6/hijack/tests/test_settings.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'foobar',104,[104],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
