filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
django-newsletter-0.6/docs/conf.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'bogus',27,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
django-newsletter-0.6/newsletter/forms.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,18,"[18, 19]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,"[65, 66, 67]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,197,"[197, 198, 199, 200]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,248,"[248, 249, 250]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,251,"[251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,263,"[263, 264]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,275,[275],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,276,[276],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,285,[285],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,286,[286],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,347,"[347, 348]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,555,"[555, 556, 557]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,650,"[650, 651]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,658,[658],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/models.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,659,"[659, 660]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/settings.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,[32],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/tests/test_mailing.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,"[49, 50]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/utils.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,20,[20],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
django-newsletter-0.6/newsletter/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
django-newsletter-0.6/newsletter/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",26,[26],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
django-newsletter-0.6/newsletter/views.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,164,"[164, 165]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/views.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,205,[205],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/views.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,208,[208],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-newsletter-0.6/newsletter/views.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,491,"[491, 492]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
