filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
django-piston-0.2.2.1/piston/decorator.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,47,[47],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-piston-0.2.2.1/piston/decorator.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",66,[66],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
django-piston-0.2.2.1/piston/decorator.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,87,"[87, 88]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-piston-0.2.2.1/piston/decorator.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,90,[90],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
django-piston-0.2.2.1/piston/decorator.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,97,"[97, 98]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-piston-0.2.2.1/piston/decorator.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,100,[100],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
django-piston-0.2.2.1/piston/decorator.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,155,"[155, 156]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-piston-0.2.2.1/piston/decorator.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,159,[159],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
django-piston-0.2.2.1/piston/emitters.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,39,[39],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
django-piston-0.2.2.1/piston/emitters.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,41,[41],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
django-piston-0.2.2.1/piston/emitters.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",248,[248],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
django-piston-0.2.2.1/piston/emitters.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",253,[253],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
django-piston-0.2.2.1/piston/oauth.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,43,[43],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
django-piston-0.2.2.1/piston/oauth.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",152,[152],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
django-piston-0.2.2.1/piston/oauth.py,hardcoded_password_default,B107,LOW,MEDIUM,Possible hardcoded password: 'access',376,"[376, 377, 378, 379, 380, 381, 382]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html
django-piston-0.2.2.1/piston/store.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'request',20,[20],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
django-piston-0.2.2.1/piston/store.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'access',22,[22],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
