filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
docker-registry-0.8.0/docker_registry/app.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,99,[99],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
docker-registry-0.8.0/docker_registry/images.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",416,[416],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
docker-registry-0.8.0/docker_registry/lib/config.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,24,[24],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
docker-registry-0.8.0/docker_registry/lib/config.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,61,[61],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
docker-registry-0.8.0/docker_registry/lib/rqueue.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",46,[46],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
docker-registry-0.8.0/docker_registry/lib/xtarfile.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",46,[46],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
docker-registry-0.8.0/docker_registry/lib/xtarfile.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",52,[52],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
docker-registry-0.8.0/docker_registry/run.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,103,[103],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
docker-registry-0.8.0/docker_registry/server/env.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
docker-registry-0.8.0/docker_registry/server/env.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,25,"[25, 26]",https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
docker-registry-0.8.0/docker_registry/tags.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",47,[47],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
docker-registry-0.8.0/docker_registry/toolkit.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,262,[262],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
docker-registry-0.8.0/setup.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,15,[15],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
