filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
girder-2.1.1/girder/constants.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'core.smtp.password',173,[173],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
girder-2.1.1/girder/models/group.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,275,"[275, 276]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
girder-2.1.1/girder/models/model_base.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,440,"[440, 441]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
girder-2.1.1/girder/models/model_base.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,462,"[462, 463]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
girder-2.1.1/girder/models/model_base.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,765,"[765, 766]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
girder-2.1.1/girder/utility/__init__.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,35,[35],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
girder-2.1.1/girder/utility/__init__.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,65,[65],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
girder-2.1.1/girder/utility/hash_state.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,[82],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
girder-2.1.1/girder/utility/hash_state.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,99,"[99, 100]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
girder-2.1.1/girder/utility/hash_state.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,176,"[176, 177]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
girder-2.1.1/girder/utility/install.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,30,[30],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
girder-2.1.1/girder/utility/install.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,163,[163],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
girder-2.1.1/girder/utility/install.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,166,[166],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
girder-2.1.1/girder/utility/install.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,176,[176],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
girder-2.1.1/girder/utility/server.py,use_of_mako_templates,B702,MEDIUM,HIGH,"Mako templates allow HTML/JS rendering by default and are inherently open to XSS attacks. Ensure variables in all templates are properly sanitized via the 'n', 'h' or 'x' flags (depending on context). For example, to HTML escape the variable 'data' do ${ data |h }.",41,[41],https://bandit.readthedocs.io/en/latest/plugins/b702_use_of_mako_templates.html
girder-2.1.1/girder/utility/system.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",54,[54],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
girder-2.1.1/girder/utility/system.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",69,[69],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
girder-2.1.1/girder/utility/system.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",81,[81],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
