filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
homeassistant-0.36.1/homeassistant/components/alexa.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,215,"[215, 216]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
homeassistant-0.36.1/homeassistant/components/alexa.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,231,"[231, 232]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
homeassistant-0.36.1/homeassistant/components/alexa.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,245,"[245, 246]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
homeassistant-0.36.1/homeassistant/components/camera/rpi_camera.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,8,[8],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
homeassistant-0.36.1/homeassistant/components/camera/rpi_camera.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,59,"[59, 60, 61]",https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
homeassistant-0.36.1/homeassistant/components/camera/rpi_camera.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,59,"[59, 60, 61]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
homeassistant-0.36.1/homeassistant/components/camera/rpi_camera.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,129,"[129, 130, 131]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
homeassistant-0.36.1/homeassistant/components/camera/uvc.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'ubnt',118,[118],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
homeassistant-0.36.1/homeassistant/components/cover/command_line.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,8,"[8, 9]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
homeassistant-0.36.1/homeassistant/components/cover/command_line.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",83,[83],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
