filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
hpack-1.1.0/setup.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",25,[25],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
hpack-1.1.0/setup.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
hpack-1.1.0/test/test_hpack.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,[29],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
hpack-1.1.0/test/test_hpack.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,"[30, 31]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
hpack-1.1.0/test/test_hpack.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,[49],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
hpack-1.1.0/test/test_hpack.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,[53],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
hpack-1.1.0/test/test_hpack.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,[64],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
hpack-1.1.0/test/test_hpack.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,"[65, 66]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
hpack-1.1.0/test/test_hpack.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,78,[78],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
hpack-1.1.0/test/test_hpack.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,79,[79],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
