filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
html5-0.0.9/html5lib/_ihatexml.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,117,"[117, 118]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_ihatexml.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,127,[127],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_inputstream.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,36,[36],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_inputstream.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,38,[38],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
html5-0.0.9/html5lib/_inputstream.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,77,[77],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_inputstream.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,110,[110],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_inputstream.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,333,[333],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_inputstream.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,381,[381],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_inputstream.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,429,"[429, 430, 431]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_inputstream.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,500,[500],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
html5-0.0.9/html5lib/_inputstream.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,520,[520],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
