filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
httplib2-0.9.2/python2/httplib2/socks.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,391,[391],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
httplib2-0.9.2/python3/httplib2/__init__.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",184,[184],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
httplib2-0.9.2/python3/httplib2/__init__.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",406,[406],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
httplib2-0.9.2/python3/httplib2/__init__.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,406,[406],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
httplib2-0.9.2/python3/httplib2/__init__.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",410,[410],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
httplib2-0.9.2/python3/httplib2/__init__.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",504,[504],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
httplib2-0.9.2/python3/httplib2test.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,22,[22],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
httplib2-0.9.2/python3/httplib2test.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",1155,[1155],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
httplib2-0.9.2/python3/httplib2test.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",1174,[1174],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
httplib2-0.9.2/python3/httplib2test.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",1204,[1204],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
