filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
ironic-inspector-2.2.7/ironic_inspector/conf.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,195,[195],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
ironic-inspector-2.2.7/ironic_inspector/firewall.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,16,"[16, 17]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ironic-inspector-2.2.7/ironic_inspector/firewall.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,45,[45],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ironic-inspector-2.2.7/ironic_inspector/firewall.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,75,"[75, 76]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ironic-inspector-2.2.7/ironic_inspector/firewall.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,176,[176],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ironic-inspector-2.2.7/ironic_inspector/node_cache.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,407,"[407, 408]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
ironic-inspector-2.2.7/ironic_inspector/test/base.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",43,[43],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
ironic-inspector-2.2.7/ironic_inspector/test/functional.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'pwd',227,"[227, 228]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
ironic-inspector-2.2.7/ironic_inspector/test/test_firewall.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,16,"[16, 17]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ironic-inspector-2.2.7/ironic_inspector/test/test_utils.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'token',42,[42],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
