filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
kinto-12.0.1/kinto/__main__.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,3,[3],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
kinto-12.0.1/kinto/__main__.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",165,[165],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
kinto-12.0.1/kinto/__main__.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",179,[179],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
kinto-12.0.1/kinto/__main__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,199,"[199, 200]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
kinto-12.0.1/kinto/__main__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,206,[206],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
kinto-12.0.1/kinto/__main__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,211,[211],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
kinto-12.0.1/kinto/core/initialization.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,140,[140],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
kinto-12.0.1/kinto/core/permission/postgresql/__init__.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,252,"[247, 248, 249, 250, 251, 252]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
kinto-12.0.1/kinto/core/permission/postgresql/__init__.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,313,"[297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
kinto-12.0.1/kinto/core/permission/postgresql/__init__.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,355,"[342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
