filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
kubernetes_asyncio-8.0.2/kubernetes_asyncio/client/rest.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,111,"[111, 112, 113]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/incluster_config.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '/var/run/secrets/kubernetes.io/serviceaccount/token',23,[23],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/incluster_config_test.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'temp_token',25,[25],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/incluster_config_test.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'not_exists_file_1123',123,[123],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/kube_config.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,429,[429],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/kube_config_test.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'Bearer %s',33,"[33, 34]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/kube_config_test.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'pass',62,"[62, 63]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/kube_config_test.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'Basic bWU6cGFzcw==',64,"[64, 65]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/kube_config_test.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'test-oidc-token',74,[74],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/kube_config_test.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'dummy',738,[738],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/openid.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'refresh_token',5,"[5, 6, 7]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/openid_test.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,89,[89],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
kubernetes_asyncio-8.0.2/kubernetes_asyncio/config/openid_test.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,[90],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
