filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
logilab-common-0.60.1/cache.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,45,[45],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/compat.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,89,[89],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
logilab-common-0.60.1/compat.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,91,[91],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
logilab-common-0.60.1/compat.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with Popen module.,137,[137],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
logilab-common-0.60.1/compat.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,165,[165],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
logilab-common-0.60.1/compat.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,166,[166],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
logilab-common-0.60.1/graph.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,63,"[63, 64]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/graph.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,88,[88],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
logilab-common-0.60.1/graph.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",119,"[118, 119]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
logilab-common-0.60.1/graph.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",123,"[121, 122, 123]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
logilab-common-0.60.1/logging_ext.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,[64],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/pdf_ext.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",96,[96],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
logilab-common-0.60.1/pdf_ext.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,97,[97],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
logilab-common-0.60.1/pdf_ext.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,102,[102],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
logilab-common-0.60.1/pdf_ext.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",103,[103],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
logilab-common-0.60.1/proc.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,238,[238],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/test/unittest_configuration.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,116,[116],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
logilab-common-0.60.1/test/unittest_configuration.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,207,[207],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
logilab-common-0.60.1/test/unittest_fileutils.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,71,[71],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
logilab-common-0.60.1/test/unittest_shellutils.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",207,[207],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
logilab-common-0.60.1/tree.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,240,[240],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/ureports/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,[51],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/ureports/nodes.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,[54],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/ureports/nodes.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,[59],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/ureports/nodes.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,[82],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/ureports/nodes.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,104,[104],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/ureports/nodes.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,120,[120],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/ureports/nodes.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,121,[121],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/ureports/nodes.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,188,[188],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
logilab-common-0.60.1/vcgutils.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",140,[140],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
logilab-common-0.60.1/xmlrpcutils.py,blacklist,B411,HIGH,HIGH,Using xmlrpclib to parse untrusted XML data is known to be vulnerable to XML attacks. Use defused.xmlrpc.monkey_patch() function to monkey-patch xmlrpclib and mitigate XML vulnerabilities.,21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b411-import-xmlrpclib
logilab-common-0.60.1/xmlrpcutils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,123,[123],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
