filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
luigi-2.1.0/examples/dynamic_requirements.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,35,[35],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/dynamic_requirements.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,42,[42],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
luigi-2.1.0/examples/dynamic_requirements.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,58,[58],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/dynamic_requirements.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,77,[77],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/elasticsearch_index.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,59,[59],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/execution_summary_example.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,94,[94],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/foo.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,53,[53],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/foo.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,57,[57],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/foo.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,58,[58],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/foo_complex.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,56,[56],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
luigi-2.1.0/examples/foo_complex.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,69,[69],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/foo_complex.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,73,[73],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/foo_complex.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,74,[74],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/ftp_experiment_outputs.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'some_password',27,"[27, 28, 29]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
luigi-2.1.0/examples/ftp_experiment_outputs.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,81,[81],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/spark_als.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,45,[45],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
luigi-2.1.0/examples/ssh_remote_execution.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,46,"[45, 46, 47]",https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/terasort.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,40,[40],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/terasort.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,41,"[41, 42, 43]",https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/top_artists.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,63,[63],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
luigi-2.1.0/examples/top_artists.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,64,[64],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
luigi-2.1.0/examples/top_artists.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,65,[65],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
luigi-2.1.0/examples/top_artists.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'abc123',263,[263],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
luigi-2.1.0/examples/wordcount.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,37,[37],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/wordcount.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,61,[61],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/wordcount_hadoop.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,46,[46],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/examples/wordcount_hadoop.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,78,[78],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
luigi-2.1.0/luigi/cmdline_parser.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,[49],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
luigi-2.1.0/luigi/cmdline_parser.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56,[56],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
luigi-2.1.0/luigi/contrib/bigquery.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,425,"[425, 426]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
