filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,63,[63],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Counter are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,64,"[64, 65]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,492,[492],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,600,[600],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",653,[653],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",654,[654],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",657,[657],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,696,[696],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,700,[700],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,718,[718],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
mtprotoproxy-0.9.4/mtprotoproxy.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'https://core.telegram.org/getProxySecret',959,"[959, 960]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,1002,[1002],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
mtprotoproxy-0.9.4/mtprotoproxy.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",1006,[1006],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
mtprotoproxy-0.9.4/mtprotoproxy.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,1011,[1011],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
mtprotoproxy-0.9.4/mtprotoproxy.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,1079,"[1079, 1080]",https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
