filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
nova-19.0.0/nova/api/metadata/base.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'password',96,[96],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
nova-19.0.0/nova/api/openstack/compute/attach_interfaces.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",156,[156],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
nova-19.0.0/nova/api/openstack/compute/security_groups.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,315,[315],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
nova-19.0.0/nova/block_device.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,430,[430],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
nova-19.0.0/nova/cells/scheduler.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",245,[245],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
nova-19.0.0/nova/compute/instance_actions.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'changePassword',48,[48],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
nova-19.0.0/nova/conf/serial_console.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,84,[84],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
nova-19.0.0/nova/conf/service.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,98,[98],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
nova-19.0.0/nova/conf/service.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,130,[130],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
nova-19.0.0/nova/conf/spice.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,35,[35],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
nova-19.0.0/nova/conf/vnc.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,120,[120],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
nova-19.0.0/nova/conf/vnc.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,207,[207],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
nova-19.0.0/nova/console/rfb/authvencrypt.py,ssl_with_no_version,B504,LOW,MEDIUM,"ssl.wrap_socket call with no SSL/TLS protocol version specified, the default SSLv23 could be insecure, possible security issue.",137,"[137, 138, 139, 140, 141, 142, 143]",https://bandit.readthedocs.io/en/latest/plugins/b504_ssl_with_no_version.html
nova-19.0.0/nova/console/websocketproxy.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: '***',146,[146],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
nova-19.0.0/nova/console/websocketproxy.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: '***',159,[159],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
nova-19.0.0/nova/console/websocketproxy.py,hardcoded_password_string,B105,LOW,MEDIUM,"Possible hardcoded password: '

'",265,[265],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
nova-19.0.0/nova/crypto.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",58,[58],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
nova-19.0.0/nova/crypto.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",76,[76],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
nova-19.0.0/nova/db/sqlalchemy/api.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,387,"[387, 388, 389, 390, 391]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
nova-19.0.0/nova/db/sqlalchemy/migration.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,183,[183],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
nova-19.0.0/nova/ipv6/account_identifier.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",32,[32],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
nova-19.0.0/nova/network/floating_ips.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",352,[352],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
nova-19.0.0/nova/network/ldapdns.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,149,[149],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
nova-19.0.0/nova/notifications/objects/base.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,214,"[214, 215, 216, 217, 218]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
nova-19.0.0/nova/objects/aggregate.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,441,[441],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
nova-19.0.0/nova/objects/block_device.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,162,[162],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
nova-19.0.0/nova/objects/console_auth_token.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: '***',162,[162],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
nova-19.0.0/nova/objects/fields.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'updating_password',890,[890],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
nova-19.0.0/nova/pci/utils.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",198,[198],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
nova-19.0.0/nova/privsep/fs.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",286,[286],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
nova-19.0.0/nova/privsep/utils.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,42,[42],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
nova-19.0.0/nova/privsep/utils.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",89,[89],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
nova-19.0.0/nova/rpc.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,96,[96],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
