filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
oci-2.1.2/src/oci/_vendor/httpsig_cffi/requests_auth.py,hardcoded_password_default,B107,LOW,MEDIUM,Possible hardcoded password: '',27,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html
oci-2.1.2/src/oci/_vendor/httpsig_cffi/sign.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,[30],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/httpsig_cffi/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",170,[170],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
oci-2.1.2/src/oci/_vendor/jwt/contrib/algorithms/pycrypto.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Hash.SHA256 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
oci-2.1.2/src/oci/_vendor/jwt/contrib/algorithms/pycrypto.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Hash.SHA384 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,2,[2],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
oci-2.1.2/src/oci/_vendor/jwt/contrib/algorithms/pycrypto.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Hash.SHA512 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,3,"[3, 4]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
oci-2.1.2/src/oci/_vendor/jwt/contrib/algorithms/pycrypto.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module RSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
oci-2.1.2/src/oci/_vendor/jwt/contrib/algorithms/pycrypto.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module PKCS1_v1_5 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,6,"[6, 7]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
oci-2.1.2/src/oci/_vendor/requests/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,"[55, 56, 57]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/requests/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,[65],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/requests/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,[66],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/requests/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,67,"[67, 68, 69]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/requests/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,[73],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/requests/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,[74],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/requests/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,[75],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/requests/_internal_utils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,41,[41],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/requests/auth.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",152,[152],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
oci-2.1.2/src/oci/_vendor/requests/auth.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",158,[158],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
oci-2.1.2/src/oci/_vendor/requests/auth.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",190,[190],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
oci-2.1.2/src/oci/_vendor/six.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,709,[709],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
oci-2.1.2/src/oci/_vendor/urllib3/contrib/securetransport.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,663,"[663, 664, 665]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/urllib3/contrib/securetransport.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,667,"[667, 668]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/urllib3/contrib/securetransport.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,800,[800],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/urllib3/contrib/securetransport.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,801,[801],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/urllib3/contrib/securetransport.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,802,"[802, 803, 804, 805]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/urllib3/packages/backports/makefile.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,[29],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/urllib3/packages/backports/makefile.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,[51],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
oci-2.1.2/src/oci/_vendor/urllib3/packages/six.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,703,[703],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
oci-2.1.2/src/oci/_vendor/urllib3/util/connection.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",126,[126],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
oci-2.1.2/src/oci/_vendor/urllib3/util/ssl_.py,ssl_with_no_version,B504,LOW,MEDIUM,"ssl.wrap_socket call with no SSL/TLS protocol version specified, the default SSLv23 could be insecure, possible security issue.",152,[152],https://bandit.readthedocs.io/en/latest/plugins/b504_ssl_with_no_version.html
oci-2.1.2/src/oci/_vendor/urllib3/util/ssl_.py,ssl_with_no_version,B504,LOW,MEDIUM,"ssl.wrap_socket call with no SSL/TLS protocol version specified, the default SSLv23 could be insecure, possible security issue.",154,[154],https://bandit.readthedocs.io/en/latest/plugins/b504_ssl_with_no_version.html
oci-2.1.2/src/oci/auth/signers/security_token_signer.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'ST${}',8,"[8, 9, 10]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
oci-2.1.2/src/oci/fips.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",72,[72],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
oci-2.1.2/src/oci/fips.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",98,[98],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
oci-2.1.2/src/oci/object_storage/transfer/internal/md5.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",15,[15],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
oci-2.1.2/src/oci/object_storage/transfer/internal/multipart_object_assembler.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",394,[394],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
oci-2.1.2/src/oci/retry/retry_sleep_utils.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,8,[8],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
oci-2.1.2/src/oci/retry/retry_sleep_utils.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,13,[13],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
