filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
passlib-1.3.1/passlib/apache.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,111,[111],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
passlib-1.3.1/passlib/apache.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,121,[121],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
passlib-1.3.1/passlib/apache.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",338,[338],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
passlib-1.3.1/passlib/apache.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",383,[383],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
passlib-1.3.1/passlib/context.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,[51],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
passlib-1.3.1/passlib/context.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,52,[52],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
passlib-1.3.1/passlib/context.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,693,[693],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
passlib-1.3.1/passlib/context.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,701,[701],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
passlib-1.3.1/passlib/handlers/des_crypt.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,85,"[85, 86, 87, 88]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
passlib-1.3.1/passlib/handlers/md5_crypt.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",41,[41],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
passlib-1.3.1/passlib/handlers/md5_crypt.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",47,[47],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
passlib-1.3.1/passlib/handlers/md5_crypt.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,[48],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
passlib-1.3.1/passlib/handlers/md5_crypt.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",85,[85],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
passlib-1.3.1/passlib/handlers/md5_crypt.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",86,[86],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
