filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
peewee-2.9.2/examples/analytics/app.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'secret - change me',47,"[47, 48]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
peewee-2.9.2/examples/analytics/app.py,flask_debug_true,B201,HIGH,MEDIUM,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",144,[144],https://bandit.readthedocs.io/en/latest/plugins/b201_flask_debug_true.html
peewee-2.9.2/examples/blog/app.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'secret',24,[24],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
peewee-2.9.2/examples/blog/app.py,hardcoded_password_string,B105,LOW,MEDIUM,"Possible hardcoded password: 'shhh, secret!'",33,"[33, 34, 35, 36]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
peewee-2.9.2/examples/blog/app.py,flask_debug_true,B201,HIGH,MEDIUM,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",265,[265],https://bandit.readthedocs.io/en/latest/plugins/b201_flask_debug_true.html
peewee-2.9.2/examples/twitter/app.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'hin6bab8ge25*r=x&amp;+5$0kn=-#log$pt^#@vrqjld!^2ci@g*b',16,"[16, 17, 18, 19]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
peewee-2.9.2/examples/twitter/app.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",66,[66],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
peewee-2.9.2/examples/twitter/app.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",199,[199],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
peewee-2.9.2/examples/twitter/app.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",218,[218],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
peewee-2.9.2/peewee.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,144,[144],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
peewee-2.9.2/peewee.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,281,[281],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
peewee-2.9.2/peewee.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,299,[299],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
peewee-2.9.2/peewee.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",2214,[2214],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
peewee-2.9.2/peewee.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,3159,[3159],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
peewee-2.9.2/playhouse/fields.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,2,[2],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
peewee-2.9.2/playhouse/fields.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,4,[4],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
peewee-2.9.2/playhouse/fields.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,30,[30],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
peewee-2.9.2/playhouse/fields.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Random are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,31,[31],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
