filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
priority-1.1.1/src/priority/priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,125,"[125, 126]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/src/priority/priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,239,[239],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,113,[113],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,126,[126],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,139,[139],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,140,[140],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,141,[141],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,142,[142],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,143,[143],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,144,[144],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,172,[172],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,192,[192],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,210,[210],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,263,[263],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,328,[328],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
priority-1.1.1/test/test_priority.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,352,[352],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
