filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
ptah-0.3.2/bootstrap.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ptah-0.3.2/bootstrap.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,34,"[34, 35, 36, 37, 38, 39, 40, 41, 42]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ptah-0.3.2/bootstrap.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,54,[54],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
ptah-0.3.2/bootstrap.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,163,"[163, 164]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
ptah-0.3.2/bootstrap.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,166,[166],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
ptah-0.3.2/bootstrap.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,243,[243],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
ptah-0.3.2/bootstrap.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,244,[244],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
ptah-0.3.2/bootstrap.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,246,[246],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
ptah-0.3.2/ptah/cms/container.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",195,[195],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
ptah-0.3.2/ptah/form/tests/test_iso8601.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,7,[7],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ptah-0.3.2/ptah/form/tests/test_iso8601.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,[8],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ptah-0.3.2/ptah/form/tests/test_iso8601.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,[11],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
ptah-0.3.2/ptah/form/tests/test_iso8601.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,[14],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
