filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with PIPE module.,11,[11],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'blah',1615,[1615],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'blah',1642,[1642],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_default,B107,LOW,MEDIUM,Possible hardcoded password: '',1693,"[1693, 1694, 1695, 1696, 1697, 1698, 1699, 1700, 1701, 1702, 1703, 1704, 1705, 1706, 1707, 1708, 1709, 1710, 1711, 1712, 1713, 1714, 1715]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'whatever',1721,[1721],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'whatever',1740,[1740],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,"Possible hardcoded password: 'Dogmeat[]{}!@#$%^&*()~`?/.,<>-_+="";:'",1772,[1772],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',1796,[1796],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'Lake Michigan',1821,[1821],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'Lake Michigan',1833,[1833],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'Hobie 18',1854,[1854],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: '',1870,"[1870, 1871]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
pyOpenSSL-0.13/OpenSSL/test/test_crypto.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",1931,[1931],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
pyOpenSSL-0.13/OpenSSL/test/test_ssl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,92,[92],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyOpenSSL-0.13/OpenSSL/test/test_ssl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,"[94, 95, 96]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyOpenSSL-0.13/OpenSSL/test/test_ssl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,512,[512],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyOpenSSL-0.13/OpenSSL/test/util.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,136,[136],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyOpenSSL-0.13/OpenSSL/tsafe.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,22,[22],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
pyOpenSSL-0.13/doc/tools/sgmlconv/docfixer.py,blacklist,B408,LOW,HIGH,"Using xml.dom.minidom to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",14,"[14, 15]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b408-import-xml-minidom
pyOpenSSL-0.13/doc/tools/sgmlconv/docfixer.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",34,[34],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
pyOpenSSL-0.13/doc/tools/sgmlconv/docfixer.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
pyOpenSSL-0.13/doc/tools/sgmlconv/docfixer.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",35,[35],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
pyOpenSSL-0.13/doc/tools/sgmlconv/docfixer.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,35,[35],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
pyOpenSSL-0.13/doc/tools/sgmlconv/esis2sgml.py,blacklist,B406,LOW,HIGH,"Using escape to parse untrusted XML data is known to be vulnerable to XML attacks. Replace escape with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",18,"[18, 19, 20]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b406-import-xml-sax
