filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pyXMLSecurity-0.8/src/xmlsec/__init__.py,blacklist,B410,LOW,HIGH,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,7,[7],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyXMLSecurity-0.8/src/xmlsec/__init__.py,blacklist,B410,LOW,HIGH,Using ElementMaker to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ElementMaker with the equivalent defusedxml package.,13,[13],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyXMLSecurity-0.8/src/xmlsec/__init__.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",60,[60],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
pyXMLSecurity-0.8/src/xmlsec/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,196,"[196, 197]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyXMLSecurity-0.8/src/xmlsec/__init__.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,309,[309],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
pyXMLSecurity-0.8/src/xmlsec/__init__.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,384,[384],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
pyXMLSecurity-0.8/src/xmlsec/__init__.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,481,[481],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
pyXMLSecurity-0.8/src/xmlsec/__init__.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,594,[594],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
pyXMLSecurity-0.8/src/xmlsec/pk11.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,[59],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyXMLSecurity-0.8/src/xmlsec/pk11.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,[60],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyXMLSecurity-0.8/src/xmlsec/rsa_x509_pem/Crypto/PublicKey/DSA.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module * are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,16,[16],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pyXMLSecurity-0.8/src/xmlsec/rsa_x509_pem/Crypto/PublicKey/DSA.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module number are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,17,[17],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
