filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_OAEP.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Signature.PKCS1_PSS are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,57,[57],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_OAEP.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Hash.SHA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,58,"[58, 59]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_OAEP.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module * are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,60,[60],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_OAEP.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Util.number are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,61,[61],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_OAEP.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module ceil_div are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,62,[62],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_OAEP.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module strxor are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,63,"[63, 64]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_v1_5.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module ceil_div are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,73,[73],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_v1_5.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module * are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,74,[74],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Cipher/PKCS1_v1_5.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Util.number are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,75,"[75, 76]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Hash/HMAC.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module strxor_c are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,46,[46],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Hash/HMAC.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module * are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,47,"[47, 48, 49, 50]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Hash/MD2.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Wrapper are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,25,[25],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
pycrypto-2.5/lib/Crypto/Hash/MD2.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module * are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,26,"[26, 27, 28, 29, 30, 31, 32, 33, 34]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
