filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pyorient-1.4.8/pyorient/groovy.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",177,[177],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
pyorient-1.4.8/pyorient/hexdump.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,324,[324],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyorient-1.4.8/pyorient/hexdump.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,327,"[327, 328]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyorient-1.4.8/pyorient/hexdump.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,329,"[329, 330, 331, 332]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyorient-1.4.8/pyorient/hexdump.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,339,[339],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyorient-1.4.8/pyorient/hexdump.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,348,[348],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyorient-1.4.8/pyorient/hexdump.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,356,[356],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyorient-1.4.8/pyorient/hexdump.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,360,"[360, 361]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyorient-1.4.8/pyorient/hexdump.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,363,"[363, 364]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyorient-1.4.8/pyorient/messages/base.py,hardcoded_password_default,B107,LOW,MEDIUM,Possible hardcoded password: '',85,"[85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html
pyorient-1.4.8/pyorient/messages/base.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',91,[91],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyorient-1.4.8/pyorient/messages/base.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',164,[164],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,418,[418],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,422,[422],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,426,[426],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,474,[474],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,488,[488],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,503,[503],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,518,[518],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,533,[533],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/graph.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,548,[548],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/query.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,609,[609],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyorient-1.4.8/pyorient/ogm/query.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,612,[612],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
