filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pypiserver-1.1.6/bootstrap.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,76,[76],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
pypiserver-1.1.6/bootstrap.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,76,[76],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
pypiserver-1.1.6/bootstrap.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,144,[144],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
pypiserver-1.1.6/bootstrap.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,145,[145],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
pypiserver-1.1.6/gen-standalone.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,5,"[5, 6, 7]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
pypiserver-1.1.6/gen-standalone.py,set_bad_file_permissions,B103,MEDIUM,HIGH,Chmod setting a permissive mask 0755 on file (dst).,47,[47],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
pypiserver-1.1.6/pypi-server-in.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,50,[50],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
pypiserver-1.1.6/pypi-server-in.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,51,[51],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
pypiserver-1.1.6/pypi-server-in.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",54,[54],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
pypiserver-1.1.6/pypi-server-in.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,56,[56],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
