filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
python-fedora-0.8.0/fedora/client/bodhi.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",91,[91],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
python-fedora-0.8.0/fedora/client/fas2.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",547,[547],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
python-fedora-0.8.0/fedora/client/openidproxyclient.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'xxxxxxx',455,[455],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
python-fedora-0.8.0/fedora/client/proxyclient.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",339,[339],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
python-fedora-0.8.0/fedora/client/proxyclient.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'xxxxxxx',366,[366],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
python-fedora-0.8.0/fedora/django/auth/models.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,78,[78],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
python-fedora-0.8.0/fedora/django/auth/models.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,124,[124],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
python-fedora-0.8.0/fedora/django/auth/models.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,131,[131],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
python-fedora-0.8.0/fedora/django/auth/models.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,141,[141],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
python-fedora-0.8.0/fedora/tg/identity/jsonfasprovider2.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",212,[212],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
python-fedora-0.8.0/fedora/tg/identity/jsonfasprovider2.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",246,[246],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
python-fedora-0.8.0/fedora/tg/widgets.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,83,"[83, 84, 85]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
python-fedora-0.8.0/fedora/tg2/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",77,[77],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
python-fedora-0.8.0/fedora/wsgi/csrf.py,hardcoded_password_default,B107,LOW,MEDIUM,Possible hardcoded password: '_csrf_token',97,"[97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html
python-fedora-0.8.0/fedora/wsgi/csrf.py,hardcoded_password_default,B107,LOW,MEDIUM,Possible hardcoded password: '_csrf_token',198,"[198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html
python-fedora-0.8.0/fedora/wsgi/csrf.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",253,[253],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
python-fedora-0.8.0/fedora/wsgi/faswho/faswhoplugin.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",366,[366],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
python-fedora-0.8.0/setup.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,4,"[4, 5]",https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
