filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
python3-saml-1.1.3/src/onelogin/saml2/auth.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,78,[78],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/auth.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,261,[261],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/auth.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,426,[426],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/constants.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'urn:oasis:names:tc:SAML:2.0:ac:classes:Password',59,[59],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
python3-saml-1.1.3/src/onelogin/saml2/constants.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport',60,[60],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
python3-saml-1.1.3/src/onelogin/saml2/errors.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,"[46, 47]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/idp_metadata_parser.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,37,[37],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
python3-saml-1.1.3/src/onelogin/saml2/idp_metadata_parser.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",46,[46],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
python3-saml-1.1.3/src/onelogin/saml2/metadata.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,239,[239],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/settings.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,314,"[314, 315]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/settings.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,335,"[335, 336]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/settings.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,382,"[382, 383]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/settings.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,653,"[653, 654]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/settings.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,715,"[715, 716]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/utils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,177,[177],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/utils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,178,"[178, 179]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",364,[364],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
python3-saml-1.1.3/src/onelogin/saml2/utils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,422,[422],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/utils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,423,"[423, 424]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
python3-saml-1.1.3/src/onelogin/saml2/utils.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,486,"[486, 487]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
