filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
quilt-2.9.13/quilt/imports.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,[46],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
quilt-2.9.13/quilt/imports.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,[64],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
quilt-2.9.13/quilt/imports.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,135,[135],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
quilt-2.9.13/quilt/nodes.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,22,[22],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
quilt-2.9.13/quilt/nodes.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,23,[23],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
quilt-2.9.13/quilt/nodes.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,217,[217],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
quilt-2.9.13/quilt/nodes.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,242,"[242, 243]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
quilt-2.9.13/quilt/test/gen_data.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,"[37, 38]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
quilt-2.9.13/quilt/test/gen_data.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,49,[49],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
quilt-2.9.13/quilt/test/gen_data.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,55,[55],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
quilt-2.9.13/quilt/test/test_asa_plot.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,"[53, 54]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
