filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
rauth-0.6.2/rauth/oauth.py,HIGH,HIGH,The pyCrypto library and its module RSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,164,[164],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto,B413,blacklist
rauth-0.6.2/rauth/oauth.py,HIGH,HIGH,The pyCrypto library and its module SHA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,165,[165],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto,B413,blacklist
rauth-0.6.2/rauth/oauth.py,HIGH,HIGH,The pyCrypto library and its module PKCS1_v1_5 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,166,[166],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto,B413,blacklist
rauth-0.6.2/rauth/service.py,MEDIUM,LOW,Possible hardcoded password: 'Decoder failed to handle {key} with data as returned by provider. A different decoder may be needed. Provider returned: {raw}',13,"[13, 14, 15, 16, 17]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
rauth-0.6.2/rauth/service.py,MEDIUM,LOW,Possible hardcoded password: 'oauth_token',211,"[211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html,B107,hardcoded_password_default
rauth-0.6.2/rauth/service.py,MEDIUM,LOW,Possible hardcoded password: 'oauth_token',284,"[284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html,B107,hardcoded_password_default
rauth-0.6.2/rauth/session.py,HIGH,MEDIUM,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",240,"[240, 241]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5,B303,blacklist
rauth-0.6.2/rauth/session.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,241,[241],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
rauth-0.6.2/rauth/session.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,457,"[457, 458, 459]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rauth-0.6.2/setup.py,HIGH,LOW,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",22,[22],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html,B605,start_process_with_a_shell
rauth-0.6.2/setup.py,HIGH,LOW,Starting a process with a partial executable path,22,[22],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html,B607,start_process_with_partial_path
