filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
rdflib-4.2.2/rdflib/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,72,"[72, 73]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,168,[168],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,169,"[169, 170]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/compat.py,blacklist,B410,LOW,HIGH,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,29,[29],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
rdflib-4.2.2/rdflib/compat.py,blacklist,B405,LOW,HIGH,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",33,[33],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree
rdflib-4.2.2/rdflib/compat.py,blacklist,B405,LOW,HIGH,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",37,[37],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree
rdflib-4.2.2/rdflib/compat.py,blacklist,B405,LOW,HIGH,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",53,"[53, 54]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree
rdflib-4.2.2/rdflib/extras/external_graph_libs.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,47,[47],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/external_graph_libs.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,[48],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/external_graph_libs.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,[49],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,233,[233],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,241,"[241, 242]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,250,[250],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,258,[258],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,298,[298],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",404,[404],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,435,[435],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,459,[459],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",477,[477],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,495,[495],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",740,[740],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1013,[1013],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1017,[1017],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1022,[1022],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1318,[1318],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1503,[1503],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1505,"[1505, 1506]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1510,"[1510, 1511, 1512]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1564,"[1564, 1565]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1581,[1581],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1637,[1637],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1652,[1652],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1700,[1700],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/extras/infixowl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1945,[1945],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/parser.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21,[21],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/parser.py,blacklist,B406,LOW,HIGH,"Using xmlreader to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xmlreader with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",24,"[24, 25]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b406-import-xml-sax
rdflib-4.2.2/rdflib/parser.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,105,[105],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
rdflib-4.2.2/rdflib/parser.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,106,[106],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
rdflib-4.2.2/rdflib/plugins/parsers/hturtle.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,[26],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",310,[310],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",345,[345],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",513,[513],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
