filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
recurly-2.6.2/recurly/__init__.py,HIGH,LOW,"Using ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",6,"[6, 7]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
recurly-2.6.2/recurly/__init__.py,HIGH,MEDIUM,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,257,[257],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-elementtree,B314,blacklist
recurly-2.6.2/recurly/__init__.py,HIGH,MEDIUM,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,273,[273],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
recurly-2.6.2/recurly/__init__.py,HIGH,MEDIUM,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,298,[298],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
recurly-2.6.2/recurly/__init__.py,HIGH,MEDIUM,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,319,[319],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
recurly-2.6.2/recurly/__init__.py,HIGH,MEDIUM,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,878,[878],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
recurly-2.6.2/recurly/__init__.py,HIGH,MEDIUM,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,1300,[1300],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
recurly-2.6.2/recurly/errors.py,HIGH,LOW,"Using ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
recurly-2.6.2/recurly/errors.py,HIGH,MEDIUM,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,18,"[18, 19]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
recurly-2.6.2/recurly/link_header.py,MEDIUM,LOW,"Possible hardcoded password: '(?:[^\(\)<>@,;:\\""/\[\]\?={} \t]+?)'",35,[35],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
