filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
restkit-4.2.2/bootstrap.py,HIGH,MEDIUM,Use of exec detected.,65,"[65, 66]",https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html,B102,exec_used
restkit-4.2.2/bootstrap.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,65,[65],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
restkit-4.2.2/bootstrap.py,HIGH,MEDIUM,Use of exec detected.,69,"[69, 70]",https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html,B102,exec_used
restkit-4.2.2/bootstrap.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,69,[69],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
restkit-4.2.2/bootstrap.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,97,"[97, 98]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
restkit-4.2.2/bootstrap.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,99,"[99, 100, 101, 102, 103, 104, 105]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/bootstrap.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,99,"[99, 100, 101, 102, 103]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
restkit-4.2.2/bootstrap.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,108,"[108, 109, 110, 111, 112, 113, 114, 115]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/bootstrap.py,MEDIUM,LOW,Starting a process without a shell.,108,"[108, 109, 110, 111, 112, 113]",https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html,B606,start_process_with_no_shell
restkit-4.2.2/doc/sitemap_gen.py,HIGH,LOW,"Using xml.sax to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.sax with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",73,"[73, 74, 75]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b406-import-xml-sax,B406,blacklist
restkit-4.2.2/doc/sitemap_gen.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,599,"[599, 600, 601]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/doc/sitemap_gen.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,703,"[703, 704]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/doc/sitemap_gen.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,823,[823],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/doc/sitemap_gen.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1520,[1520],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/doc/sitemap_gen.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1526,[1526],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/doc/sitemap_gen.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,1853,[1853],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
restkit-4.2.2/doc/sitemap_gen.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,1876,[1876],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
restkit-4.2.2/doc/sitemap_gen.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1938,[1938],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/doc/sitemap_gen.py,HIGH,MEDIUM,Using xml.sax.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.sax.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,2036,[2036],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-sax,B317,blacklist
restkit-4.2.2/restkit/conn.py,MEDIUM,LOW,"ssl.wrap_socket call with no SSL/TLS protocol version specified, the default SSLv23 could be insecure, possible security issue.",38,[38],https://bandit.readthedocs.io/en/latest/plugins/b504_ssl_with_no_version.html,B504,ssl_with_no_version
restkit-4.2.2/restkit/conn.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,46,[46],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
restkit-4.2.2/restkit/conn.py,HIGH,LOW,"Try, Except, Pass detected.",87,[87],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
restkit-4.2.2/restkit/oauth2.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,114,[114],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/restkit/oauth2.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,130,[130],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/restkit/oauth2.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,146,[146],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
restkit-4.2.2/restkit/oauth2.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,151,[151],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
restkit-4.2.2/restkit/oauth2.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,445,[445],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/restkit/oauth2.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,493,[493],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
restkit-4.2.2/restkit/util.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
restkit-4.2.2/restkit/util.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",24,"[24, 25, 26]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
restkit-4.2.2/tests/009-test-oauth_filter.py,MEDIUM,LOW,Possible hardcoded password: '0e9e6413a9ef49510a4f68ed02cd',36,[36],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,[27],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,38,"[38, 39]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,42,[42],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,"[53, 54]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,[57],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,[66],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,"[75, 76]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,79,[79],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,[88],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,99,[99],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/010-test-proxies.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,109,[109],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/t.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,[94],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/t.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,97,[97],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/t.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,100,[100],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/t.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,103,[103],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/t.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,106,[106],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/t.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,109,[109],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/t.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,112,[112],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/t.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,115,[115],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
restkit-4.2.2/tests/treq.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,106,[106],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
restkit-4.2.2/tests/treq.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,120,[120],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
restkit-4.2.2/tests/treq.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,123,[123],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
