filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
rope-0.9.4/rope/base/fscommands.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,11,"[11, 12, 13]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
rope-0.9.4/rope/base/fscommands.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,185,[185],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
rope-0.9.4/rope/base/oi/doa.py,HIGH,LOW,Consider possible security implications associated with cPickle module.,1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
rope-0.9.4/rope/base/oi/doa.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
rope-0.9.4/rope/base/oi/doa.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,44,"[44, 45, 46, 47]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
rope-0.9.4/rope/base/oi/doa.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",130,[130],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
rope-0.9.4/rope/base/oi/doa.py,HIGH,MEDIUM,Deserialization with the marshal module is possibly dangerous.,158,[158],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b302-marshal,B302,blacklist
rope-0.9.4/rope/base/oi/runmod.py,HIGH,LOW,Consider possible security implications associated with cPickle module.,6,[6],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
rope-0.9.4/rope/base/project.py,HIGH,LOW,Consider possible security implications associated with cPickle module.,1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
rope-0.9.4/rope/base/project.py,HIGH,MEDIUM,Use of exec detected.,178,[178],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html,B102,exec_used
rope-0.9.4/rope/base/project.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",307,[307],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
rope-0.9.4/rope/contrib/generate.py,HIGH,MEDIUM,Use of possibly insecure function - consider using safer ast.literal_eval.,13,[13],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval,B307,blacklist
rope-0.9.4/ropetest/testutils.py,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,15,[15],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html,B108,hardcoded_tmp_directory
rope-0.9.4/ropetest/testutils.py,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,16,[16],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html,B108,hardcoded_tmp_directory
