filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
roundup-1.4.19/roundup/backends/back_tsearch2.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,52,[52],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/back_tsearch2.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,66,[66],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/blobfiles.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",285,[285],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
roundup-1.4.19/roundup/backends/indexer_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,50,"[50, 51]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/indexer_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,57,"[57, 58]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/indexer_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,63,[63],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/indexer_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,79,[79],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/indexer_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,100,[100],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/indexer_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,107,"[107, 108]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/indexer_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,137,"[137, 138]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/sessions_dbm.py,blacklist,B302,MEDIUM,HIGH,Deserialization with the marshal module is possibly dangerous.,64,[64],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b302-marshal
roundup-1.4.19/roundup/backends/sessions_dbm.py,blacklist,B302,MEDIUM,HIGH,Deserialization with the marshal module is possibly dangerous.,77,[77],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b302-marshal
roundup-1.4.19/roundup/backends/sessions_dbm.py,blacklist,B302,MEDIUM,HIGH,Deserialization with the marshal module is possibly dangerous.,89,[89],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b302-marshal
roundup-1.4.19/roundup/backends/sessions_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,22,[22],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
roundup-1.4.19/roundup/backends/sessions_rdbms.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,26,"[26, 27]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
