filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
sbp-2.4.1/sbp/client/drivers/network_drivers.py,HIGH,LOW,"Try, Except, Pass detected.",192,[192],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
sbp-2.4.1/sbp/client/drivers/network_drivers.py,HIGH,LOW,"Try, Except, Pass detected.",285,[285],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
sbp-2.4.1/sbp/client/drivers/network_drivers.py,HIGH,LOW,"Try, Except, Pass detected.",360,[360],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
sbp-2.4.1/sbp/client/forwarder.py,HIGH,LOW,"Try, Except, Pass detected.",53,[53],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
sbp-2.4.1/sbp/client/framer.py,HIGH,LOW,"Try, Except, Pass detected.",127,[127],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
sbp-2.4.1/sbp/client/handler.py,HIGH,LOW,"Try, Except, Pass detected.",197,[197],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
sbp-2.4.1/sbp/client/util/fftmonitor.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,108,"[108, 109]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sbp-2.4.1/sbp/client/util/fftmonitor.py,HIGH,LOW,Consider possible security implications associated with pickle module.,202,[202],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
sbp-2.4.1/sbp/client/util/settingmonitor.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,120,[120],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sbp-2.4.1/sbp/client/util/settingmonitor.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,131,[131],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sbp-2.4.1/sbp/msg.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,139,[139],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sbp-2.4.1/sbp/version.py,HIGH,LOW,Consider possible security implications associated with Popen module.,38,[38],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
sbp-2.4.1/sbp/version.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,43,"[43, 44]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
sbp-2.4.1/sbp/version.py,HIGH,LOW,Starting a process with a partial executable path,43,"[43, 44]",https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html,B607,start_process_with_partial_path
sbp-2.4.1/sbp/version.py,HIGH,LOW,"Try, Except, Pass detected.",69,[69],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
sbp-2.4.1/tests/sbp/build_test_data.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,193,[193],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sbp-2.4.1/tests/sbp/client/test_driver.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,[48],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
