filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
seed-stage-based-messaging-0.10.1/contentstore/tests/test_general.py,MEDIUM,LOW,Possible hardcoded password: 'testpass',486,[486],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
seed-stage-based-messaging-0.10.1/seed_stage_based_messaging/testsettings.py,MEDIUM,LOW,Possible hardcoded password: 'TESTSEKRET',4,"[4, 5, 6]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
seed-stage-based-messaging-0.10.1/seed_stage_based_messaging/testsettings.py,MEDIUM,LOW,Possible hardcoded password: 'REPLACEME',17,"[17, 18]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
seed-stage-based-messaging-0.10.1/seed_stage_based_messaging/testsettings.py,MEDIUM,LOW,Possible hardcoded password: 'REPLACEME',20,"[20, 21]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
seed-stage-based-messaging-0.10.1/seed_stage_based_messaging/testsettings.py,MEDIUM,LOW,Possible hardcoded password: 'REPLACEME',23,"[23, 24]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
seed-stage-based-messaging-0.10.1/seed_stage_based_messaging/testsettings.py,MEDIUM,LOW,Possible hardcoded password: 'REPLACEME',26,"[26, 27]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
seed-stage-based-messaging-0.10.1/seed_stage_based_messaging/testsettings.py,MEDIUM,LOW,Possible hardcoded password: 'secret',37,[37],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
seed-stage-based-messaging-0.10.1/seed_stage_based_messaging/utils.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,56,[56],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
seed-stage-based-messaging-0.10.1/seed_stage_based_messaging/utils.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,60,[60],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
seed-stage-based-messaging-0.10.1/subscriptions/tests.py,MEDIUM,LOW,Possible hardcoded password: 'scheduler_token',2246,"[2246, 2247, 2248]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
