filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
splash-2.0/splash/browser_tab.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,421,[421],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/browser_tab.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,891,[891],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/defaults.py,MEDIUM,LOW,Possible hardcoded password: 'admin',70,"[70, 71, 72]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
splash-2.0/splash/har/log.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/kernel/kernel.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,179,[179],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/network_manager.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,100,[100],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/qtrender_image.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,414,[414],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/qtrender_image.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,422,[422],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/qtrender_image.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,427,[427],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/qtrender_image.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,446,[446],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splash-2.0/splash/qtrender_image.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,454,[454],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
