filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
splunk-sdk-1.6.5/setup.py,HIGH,LOW,Consider possible security implications associated with check_call module.,19,"[19, 20]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
splunk-sdk-1.6.5/setup.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,202,[202],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
splunk-sdk-1.6.5/splunklib/binding.py,HIGH,LOW,"Using XML to parse untrusted XML data is known to be vulnerable to XML attacks. Replace XML with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",44,[44],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/binding.py,HIGH,LOW,"Using ParseError to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ParseError with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",47,[47],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/binding.py,MEDIUM,LOW,"ssl.wrap_socket call with no SSL/TLS protocol version specified, the default SSLv23 could be insecure, possible security issue.",552,[552],https://bandit.readthedocs.io/en/latest/plugins/b504_ssl_with_no_version.html,B504,ssl_with_no_version
splunk-sdk-1.6.5/splunklib/binding.py,HIGH,MEDIUM,"By default, Python will create a secure, verified ssl context for use in such classes as HTTPSConnection. However, it still allows using an insecure context via the _create_unverified_context that reverts to the previous behavior that does not validate certificates or perform hostname checks.",1345,[1345],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b323-unverified-context,B323,blacklist
splunk-sdk-1.6.5/splunklib/client.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1420,[1420],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/data.py,HIGH,LOW,"Using XML to parse untrusted XML data is known to be vulnerable to XML attacks. Replace XML with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/data.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,108,[108],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/data.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,138,[138],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/data.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,142,[142],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/modularinput/argument.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",17,[17],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/argument.py,HIGH,LOW,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/event.py,HIGH,LOW,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",17,[17],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/event.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/input_definition.py,HIGH,LOW,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",17,[17],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/input_definition.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/input_definition.py,HIGH,MEDIUM,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,51,[51],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-elementtree,B314,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/scheme.py,HIGH,LOW,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",17,[17],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/scheme.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/script.py,HIGH,LOW,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",27,[27],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/script.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",29,[29],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/validation_definition.py,HIGH,LOW,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",18,[18],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/validation_definition.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",20,[20],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/modularinput/validation_definition.py,HIGH,MEDIUM,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,72,[72],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
splunk-sdk-1.6.5/splunklib/results.py,HIGH,LOW,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",41,[41],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/results.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",43,[43],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/results.py,HIGH,MEDIUM,Using xml.etree.ElementTree.iterparse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.iterparse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,219,[219],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
splunk-sdk-1.6.5/splunklib/searchcommands/external_search_command.py,HIGH,LOW,Consider possible security implications associated with Popen module.,27,[27],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
splunk-sdk-1.6.5/splunklib/searchcommands/external_search_command.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,136,[136],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
splunk-sdk-1.6.5/splunklib/searchcommands/external_search_command.py,MEDIUM,LOW,Starting a process without a shell.,206,[206],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html,B606,start_process_with_no_shell
splunk-sdk-1.6.5/splunklib/searchcommands/external_search_command.py,MEDIUM,LOW,Starting a process without a shell.,208,[208],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html,B606,start_process_with_no_shell
splunk-sdk-1.6.5/splunklib/searchcommands/external_search_command.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,227,[227],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/searchcommands/internals.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,504,[504],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/searchcommands/internals.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,505,[505],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/searchcommands/internals.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,506,[506],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/searchcommands/internals.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,507,[507],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/searchcommands/internals.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,533,[533],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
splunk-sdk-1.6.5/splunklib/searchcommands/search_command.py,HIGH,LOW,"Using ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",47,"[47, 48]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
splunk-sdk-1.6.5/splunklib/searchcommands/search_command.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,272,"[272, 273]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
