filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
swift-1.0.2/swift/account/auditor.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,72,[72],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
swift-1.0.2/swift/account/auditor.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,127,[127],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
swift-1.0.2/swift/account/auditor.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,131,[131],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
swift-1.0.2/swift/account/auditor.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,135,[135],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
swift-1.0.2/swift/account/reaper.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,107,[107],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
swift-1.0.2/swift/account/server.py,HIGH,LOW,"Using saxutils to parse untrusted XML data is known to be vulnerable to XML attacks. Replace saxutils with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",31,"[31, 32]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b406-import-xml-sax,B406,blacklist
swift-1.0.2/swift/auth/server.py,HIGH,LOW,"Try, Except, Pass detected.",191,[191],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
swift-1.0.2/swift/common/client.py,HIGH,MEDIUM,Use of possibly insecure function - consider using safer ast.literal_eval.,75,[75],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval,B307,blacklist
swift-1.0.2/swift/common/client.py,HIGH,MEDIUM,"Use of HTTPSConnection on older versions of Python prior to 2.7.9 and 3.4.3 do not provide security, see https://wiki.openstack.org/wiki/OSSN/OSSN-0033",139,[139],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b309-httpsconnection,B309,blacklist
swift-1.0.2/swift/common/db.py,HIGH,LOW,Consider possible security implications associated with cPickle module.,26,[26],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
swift-1.0.2/swift/common/db.py,HIGH,MEDIUM,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",109,[109],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5,B303,blacklist
swift-1.0.2/swift/common/db.py,HIGH,LOW,"Try, Except, Pass detected.",288,[288],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
swift-1.0.2/swift/common/db.py,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,308,[308],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
swift-1.0.2/swift/common/db.py,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,311,[311],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
swift-1.0.2/swift/common/db.py,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,337,[337],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
swift-1.0.2/swift/common/db.py,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,356,[356],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
swift-1.0.2/swift/common/db.py,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,371,"[371, 372]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
swift-1.0.2/swift/common/db.py,LOW,MEDIUM,Possible SQL injection vector through string-based query construction.,388,[388],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
swift-1.0.2/swift/common/db.py,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,414,[414],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
swift-1.0.2/swift/common/db.py,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,436,[436],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
swift-1.0.2/swift/common/db.py,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,442,[442],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html,B608,hardcoded_sql_expressions
