filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
tendenci-7.5.2/setup.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,3,"[3, 4]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
tendenci-7.5.2/setup.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,124,[124],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
tendenci-7.5.2/setup.py,HIGH,LOW,Starting a process with a partial executable path,124,[124],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html,B607,start_process_with_partial_path
tendenci-7.5.2/tendenci/apps/accounts/forms.py,HIGH,MEDIUM,Potential XSS on mark_safe function.,41,[41],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html,B703,django_mark_safe
tendenci-7.5.2/tendenci/apps/accounts/forms.py,HIGH,MEDIUM,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,41,[41],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist
tendenci-7.5.2/tendenci/apps/accounts/forms.py,HIGH,MEDIUM,Potential XSS on mark_safe function.,72,[72],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html,B703,django_mark_safe
tendenci-7.5.2/tendenci/apps/accounts/forms.py,HIGH,MEDIUM,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,72,[72],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist
tendenci-7.5.2/tendenci/apps/accounts/forms.py,HIGH,MEDIUM,Potential XSS on mark_safe function.,206,[206],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html,B703,django_mark_safe
tendenci-7.5.2/tendenci/apps/accounts/forms.py,HIGH,MEDIUM,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,206,[206],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist
tendenci-7.5.2/tendenci/apps/articles/forms.py,HIGH,MEDIUM,Potential XSS on mark_safe function.,56,[56],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html,B703,django_mark_safe
tendenci-7.5.2/tendenci/apps/articles/forms.py,HIGH,MEDIUM,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,56,[56],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist
tendenci-7.5.2/tendenci/apps/articles/forms.py,HIGH,MEDIUM,Potential XSS on mark_safe function.,57,[57],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html,B703,django_mark_safe
tendenci-7.5.2/tendenci/apps/articles/forms.py,HIGH,MEDIUM,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,57,[57],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist
tendenci-7.5.2/tendenci/apps/articles/forms.py,HIGH,MEDIUM,Potential XSS on mark_safe function.,237,[237],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html,B703,django_mark_safe
tendenci-7.5.2/tendenci/apps/articles/forms.py,HIGH,MEDIUM,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,237,[237],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist
tendenci-7.5.2/tendenci/apps/articles/views.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
tendenci-7.5.2/tendenci/apps/articles/views.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,395,"[395, 396, 397, 398]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
tendenci-7.5.2/tendenci/apps/base/management/commands/auto_update.py,HIGH,HIGH,Using xmlrpclib to parse untrusted XML data is known to be vulnerable to XML attacks. Use defused.xmlrpc.monkey_patch() function to monkey-patch xmlrpclib and mitigate XML vulnerabilities.,3,[3],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b411-import-xmlrpclib,B411,blacklist
tendenci-7.5.2/tendenci/apps/base/management/commands/auto_update.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,4,"[4, 5]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
tendenci-7.5.2/tendenci/apps/base/management/commands/auto_update.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",66,"[65, 66]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
tendenci-7.5.2/tendenci/apps/base/management/commands/auto_update.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",77,"[76, 77]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
tendenci-7.5.2/tendenci/apps/base/management/commands/auto_update.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",86,"[84, 85, 86]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
tendenci-7.5.2/tendenci/apps/base/management/commands/auto_update.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",93,"[92, 93]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
tendenci-7.5.2/tendenci/apps/base/management/commands/auto_update.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",95,"[94, 95]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
