filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
thorn-1.0.0/thorn/funtests/base.py,MEDIUM,LOW,Possible hardcoded password: 'Token',48,"[48, 49]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
thorn-1.0.0/thorn/funtests/base.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,[59],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/base.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,91,[91],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/base.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,111,[111],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/base.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,116,"[116, 117]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/base.py,MEDIUM,LOW,Possible hardcoded password: 'test',119,"[119, 120, 121, 122, 123, 124, 125]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html,B107,hardcoded_password_default
thorn-1.0.0/thorn/funtests/suite.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,[65],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/suite.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,[66],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/suite.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,69,[69],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/suite.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,70,[70],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/suite.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,[73],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/funtests/suite.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,[74],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
thorn-1.0.0/thorn/tests/dispatch/test_base.py,HIGH,LOW,Consider possible security implications associated with pickle module.,3,"[3, 4]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
thorn-1.0.0/thorn/tests/dispatch/test_base.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",192,[192],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
thorn-1.0.0/thorn/tests/django/test_managers.py,MEDIUM,LOW,Possible hardcoded password: 'iesf&83j2aswe2',13,"[13, 14, 15, 16]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
thorn-1.0.0/thorn/tests/django/test_managers.py,MEDIUM,LOW,Possible hardcoded password: 'asdjqwej21j2344',18,"[18, 19, 20, 21]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
thorn-1.0.0/thorn/tests/test_app.py,HIGH,LOW,Consider possible security implications associated with pickle module.,3,[3],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
thorn-1.0.0/thorn/tests/test_app.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",52,[52],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
thorn-1.0.0/thorn/tests/test_app.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",81,[81],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
thorn-1.0.0/thorn/tests/test_app.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",92,[92],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
thorn-1.0.0/thorn/tests/test_app.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",103,[103],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
thorn-1.0.0/thorn/tests/test_events.py,HIGH,LOW,Consider possible security implications associated with pickle module.,3,"[3, 4]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
thorn-1.0.0/thorn/tests/test_events.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",52,[52],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
thorn-1.0.0/thorn/tests/test_events.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",206,[206],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
thorn-1.0.0/thorn/tests/test_request.py,HIGH,LOW,Consider possible security implications associated with pickle module.,3,"[3, 4]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
thorn-1.0.0/thorn/tests/test_request.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",155,[155],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
