filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
tweepy-2.3.0/examples/oauth.py,MEDIUM,LOW,Possible hardcoded password: '',11,"[11, 12, 13, 14, 15]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
tweepy-2.3.0/examples/oauth.py,MEDIUM,LOW,Possible hardcoded password: '',16,[16],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
tweepy-2.3.0/examples/oauth.py,MEDIUM,LOW,Possible hardcoded password: '',17,"[17, 18]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
tweepy-2.3.0/examples/streaming.py,MEDIUM,LOW,Possible hardcoded password: '',8,"[8, 9, 10, 11]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
tweepy-2.3.0/examples/streaming.py,MEDIUM,LOW,Possible hardcoded password: '',12,[12],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
tweepy-2.3.0/examples/streaming.py,MEDIUM,LOW,Possible hardcoded password: '',13,"[13, 14]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string
tweepy-2.3.0/tweepy/auth.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,70,[70],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
tweepy-2.3.0/tweepy/auth.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,70,[70],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
tweepy-2.3.0/tweepy/auth.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,117,[117],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
tweepy-2.3.0/tweepy/auth.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,117,[117],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
tweepy-2.3.0/tweepy/auth.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,143,[143],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
tweepy-2.3.0/tweepy/auth.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,143,[143],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
tweepy-2.3.0/tweepy/auth.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,175,[175],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
tweepy-2.3.0/tweepy/auth.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,179,[179],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
tweepy-2.3.0/tweepy/binder.py,HIGH,MEDIUM,"Use of HTTPSConnection on older versions of Python prior to 2.7.9 and 3.4.3 do not provide security, see https://wiki.openstack.org/wiki/OSSN/OSSN-0033",151,[151],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b309-httpsconnection,B309,blacklist
tweepy-2.3.0/tweepy/cache.py,HIGH,LOW,Consider possible security implications associated with cPickle module.,11,[11],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
tweepy-2.3.0/tweepy/cache.py,HIGH,LOW,Consider possible security implications associated with pickle module.,13,[13],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle,B403,blacklist
tweepy-2.3.0/tweepy/cache.py,HIGH,MEDIUM,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",233,[233],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle,B301,blacklist
