filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
yubiauth-0.2.2/release.py,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",65,[65],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html,B605,start_process_with_a_shell
yubiauth-0.2.2/release.py,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",81,[81],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html,B605,start_process_with_a_shell
yubiauth-0.2.2/release.py,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",91,[91],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html,B605,start_process_with_a_shell
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,38,"[38, 39]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,"[53, 54, 55]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,"[73, 74, 75]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,77,"[77, 78, 79]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,96,"[96, 97, 98, 99]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,101,"[101, 102, 103]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,104,"[104, 105, 106]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,109,"[109, 110, 111]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,120,[120],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,123,[123],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_client_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,126,"[126, 127]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_rest_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,[28],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_rest_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,[29],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_rest_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,[35],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_rest_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,76,[76],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_rest_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,77,[77],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
yubiauth-0.2.2/test/test_rest_api.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,[82],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
